State Abbreviation,ccode,Lead Id,Leader,Day of Start of Term of Office,Month of Start of Term of Office,Year of Start of Term of Office,Date of Term Of Office,Month of End of Term of Office,Year of End of Term of Office,Date of End of Term of Office,Year of birth,Gender,Military Career,Month of Election or Re-election Result,Year of Election or Re-election Result,Date of Election or Re-election Result
MEX,70,A2.9-616,Vicente Fox Quesada,1,12,2000,2000-12-01,11,2006,2006-11-01,1942,Male,False,7,2000,2000-07-01
MEX,70,A3.0-14,Calderon,1,12,2006,2006-12-01,11,2012,2012-11-01,1962,Male,False,7,2006,2006-07-01
MEX,70,cb-70-1,Enrique Pena Nieto,1,12,2012,2012-12-01,11,2018,2018-11-01,1966,Male,False,7,2012,2012-07-01
MEX,70,ctb-70-2,Lopez Obrador,1,12,2018,2018-12-01,0,0,,1953,Male,False,7,2018,2018-07-01
BLZ,80,A2.9-619,Price,21,9,1981,1981-09-21,12,1984,1984-12-01,1919,Male,False,11,1979,1979-11-01
BLZ,80,A2.9-622,Esquivel,17,12,1984,1984-12-17,11,1989,1989-11-01,1940,Male,False,12,1984,1984-12-01
BLZ,80,A2.9-625,Price,7,11,1989,1989-11-07,7,1993,1993-07-01,1919,Male,False,9,1989,1989-09-01
BLZ,80,A2.9-628,Esquivel,3,7,1993,1993-07-03,8,1998,1998-08-01,1940,Male,False,6,1993,1993-06-01
BLZ,80,A2.9-631,Musa,28,8,1998,1998-08-28,2,2008,2008-02-01,1944,Male,False,8,1998,1998-08-01
BLZ,80,A3.0-15,D.Barrow,8,2,2008,2008-02-08,11,2020,2020-11-01,1951,Male,False,2,2008,2008-02-01
BLZ,80,ctb-80-1,Juan Antonio Briceno,12,11,2020,2020-11-12,0,0,,1960,Male,False,11,2020,2020-11-01
GUA,90,A2.9-673,Arevalo,15,3,1945,1945-03-15,3,1951,1951-03-01,1904,Male,False,12,1944,1944-12-01
GUA,90,A2.9-676,Arbenz Guzman,1,3,1951,1951-03-01,6,1954,1954-06-01,1913,Male,True,11,1950,1950-11-01
GUA,90,A2.9-682,Monzon,29,6,1954,1954-06-29,7,1954,1954-07-01,1912,Male,True,0,0,
GUA,90,A2.9-685,Castillo Armas,8,7,1954,1954-07-08,7,1957,1957-07-01,1914,Male,True,10,1954,1954-10-01
GUA,90,A2.9-688,Gonzalez Lopez,20,7,1957,1957-07-20,10,1957,1957-10-01,1900,Male,False,0,0,
GUA,90,A2.9-694,Flores Avendano,28,10,1957,1957-10-28,3,1958,1958-03-01,1898,Male,True,0,0,
GUA,90,A2.9-697,Ydigoras Fuente,2,3,1958,1958-03-02,3,1963,1963-03-01,1895,Male,True,1,1958,1958-01-01
GUA,90,A2.9-700,Peralta Azurdia,31,3,1963,1963-03-31,7,1966,1966-07-01,1908,Male,True,0,0,
GUA,90,A2.9-703,Mendez Montenegro,1,7,1966,1966-07-01,7,1970,1970-07-01,1915,Male,False,3,1966,1966-03-01
GUA,90,A2.9-706,Arana Osorio,1,7,1970,1970-07-01,7,1974,1974-07-01,1918,Male,True,3,1970,1970-03-01
GUA,90,A2.9-709,Laugerud Garcia,1,7,1974,1974-07-01,7,1978,1978-07-01,1930,Male,True,3,1974,1974-03-01
GUA,90,A2.9-712,Lucas Garcia,1,7,1978,1978-07-01,3,1982,1982-03-01,1924,Male,True,3,1978,1978-03-01
GUA,90,A2.9-715,Rios Montt,23,3,1982,1982-03-23,8,1983,1983-08-01,1926,Male,True,0,0,
GUA,90,A2.9-718,Mejia Victores,8,8,1983,1983-08-08,1,1986,1986-01-01,1930,Male,True,0,0,
GUA,90,A2.9-721,Cerezo,14,1,1986,1986-01-14,1,1991,1991-01-01,1942,Male,False,12,1985,1985-12-01
GUA,90,A2.9-724,Serrano Elias,14,1,1991,1991-01-14,5,1993,1993-05-01,1945,Male,False,1,1991,1991-01-01
GUA,90,A2.9-730,Leon Carpio,1,6,1993,1993-06-01,1,1996,1996-01-01,1942,Male,False,0,0,
GUA,90,A2.9-733,Arzu Yrigoyen,14,1,1996,1996-01-14,1,2000,2000-01-01,1946,Male,False,1,1996,1996-01-01
GUA,90,A2.9-736,Alfonso Portillo Cabrera,15,1,2000,2000-01-15,1,2004,2004-01-01,1951,Male,False,12,1999,1999-12-01
GUA,90,A2.9-739,Berger Perdomo,14,1,2004,2004-01-14,1,2008,2008-01-01,1946,Male,False,12,2003,2003-12-01
GUA,90,A3.0-16,Colom,14,1,2008,2008-01-14,1,2012,2012-01-01,1951,Male,False,11,2007,2007-11-01
GUA,90,cb-90-1,Molina,14,1,2012,2012-01-14,9,2015,2015-09-01,1950,Male,True,11,2011,2011-11-01
GUA,90,cb-90-2,Maldanado,3,9,2015,2015-09-03,1,2016,2016-01-01,1936,Male,False,0,0,
GUA,90,cb-90-3,Morales,14,1,2016,2016-01-14,1,2020,2020-01-01,1969,Male,False,10,2015,2015-10-01
GUA,90,ctb-90-1,Giammattei,14,1,2020,2020-01-14,0,0,,1956,Male,False,8,2019,2019-08-01
HON,91,A2.9-805,Galvez,1,1,1949,1949-01-01,11,1954,1954-11-01,1887,Male,False,10,1948,1948-10-01
HON,91,A2.9-808,Lozano Diaz,16,11,1954,1954-11-16,10,1956,1956-10-01,1885,Male,False,0,0,
HON,91,A2.9-811,Hector Caraccioli,21,10,1956,1956-10-21,12,1957,1957-12-01,1922,Male,True,0,0,
HON,91,A2.9-814,Villeda Morales,21,12,1957,1957-12-21,10,1963,1963-10-01,1909,Male,False,0,0,
HON,91,A2.9-817,Lopez Arellano,3,10,1963,1963-10-03,6,1971,1971-06-01,1921,Male,True,0,0,
HON,91,A2.9-820,Cruz,6,6,1971,1971-06-06,12,1972,1972-12-01,1903,Male,False,3,1971,1971-03-01
HON,91,A2.9-823,Lopez Arellano,4,12,1972,1972-12-04,4,1975,1975-04-01,1921,Male,True,0,0,
