State Abbreviation,ccode,Lead Id,Leader,Day of Start of Term of Office,Month of Start of Term of Office,Year of Start of Term of Office,Date of Term Of Office,Month of End of Term of Office,Year of End of Term of Office,Date of End of Term of Office,Year of birth,Gender,Military Career,Month of Election or Re-election Result,Year of Election or Re-election Result,Date of Election or Re-election Result
HON,91,A2.9-826,Melgar Castro,22,4,1975,1975-04-22,8,1978,1978-08-01,1938,Male,True,0,0,
HON,91,A2.9-829,Paz Garcia,7,8,1978,1978-08-07,1,1982,1982-01-01,1931,Male,True,0,0,
HON,91,A2.9-832,Suazo Cordova,27,1,1982,1982-01-27,1,1986,1986-01-01,1928,Male,False,11,1981,1981-11-01
HON,91,A2.9-835,Azcona Hoyo,27,1,1986,1986-01-27,1,1990,1990-01-01,1927,Male,False,11,1985,1985-11-01
HON,91,A2.9-838,Callejas,27,1,1990,1990-01-27,1,1994,1994-01-01,1943,Male,False,11,1989,1989-11-01
HON,91,A2.9-841,Reina,27,1,1994,1994-01-27,1,1998,1998-01-01,1926,Male,False,11,1993,1993-11-01
HON,91,A2.9-844,Flores Facusse,27,1,1998,1998-01-27,1,2002,2002-01-01,1950,Male,False,11,1997,1997-11-01
HON,91,A2.9-847,Ricardo Maduro,27,1,2002,2002-01-27,1,2006,2006-01-01,1946,Male,False,11,2001,2001-11-01
HON,91,A3.0-17,Zelaya,27,1,2006,2006-01-27,6,2009,2009-06-01,1952,Male,False,11,2005,2005-11-01
HON,91,A3.0-18,Micheletti,28,6,2009,2009-06-28,1,2010,2010-01-01,1943,Male,False,11,2009,2009-11-01
HON,91,A3.0-19,Lobo,27,1,2010,2010-01-27,1,2014,2014-01-01,1947,Male,False,0,0,
HON,91,cb-91-1,Juan Orlando Hernandez,27,1,2014,2014-01-27,0,0,,1968,Male,False,11,2013,2013-11-01
SAL,92,A2.9-928,Oscar Bolanos,22,10,1949,1949-10-22,9,1950,1950-09-01,1912,Male,True,0,0,
SAL,92,A2.9-931,Osorio,14,9,1950,1950-09-14,9,1956,1956-09-01,1910,Male,True,3,1950,1950-03-01
SAL,92,A2.9-934,Lemus,14,9,1956,1956-09-14,10,1960,1960-10-01,1911,Male,True,3,1956,1956-03-01
SAL,92,A2.9-937,Castillo,26,10,1960,1960-10-26,1,1961,1961-01-01,1915,Male,True,0,0,
SAL,92,A2.9-940,Portillo,25,1,1961,1961-01-25,1,1962,1962-01-01,1914,Male,True,0,0,
SAL,92,A2.9-943,Rodolfo Cordon,25,1,1962,1962-01-25,7,1962,1962-07-01,1899,Male,False,0,0,
SAL,92,A2.9-946,Rivera,1,7,1962,1962-07-01,7,1967,1967-07-01,1922,Male,True,4,1962,1962-04-01
SAL,92,A2.9-949,Sanchez Hernandez,1,7,1967,1967-07-01,7,1972,1972-07-01,1917,Male,True,3,1967,1967-03-01
SAL,92,A2.9-952,Molina,1,7,1972,1972-07-01,7,1977,1977-07-01,1927,Male,True,2,1972,1972-02-01
SAL,92,A2.9-955,Romero Mena,1,7,1977,1977-07-01,10,1979,1979-10-01,1924,Male,True,2,1977,1977-02-01
SAL,92,A2.9-958,Majano Ramos,15,10,1979,1979-10-15,12,1980,1980-12-01,1938,Male,True,0,0,
SAL,92,A2.9-961,Duarte,13,12,1980,1980-12-13,5,1982,1982-05-01,1925,Male,False,0,0,
SAL,92,A2.9-964,Magana Borjo,2,5,1982,1982-05-02,6,1984,1984-06-01,1925,Male,False,0,0,
SAL,92,A2.9-967,Duarte,1,6,1984,1984-06-01,6,1989,1989-06-01,1925,Male,False,5,1984,1984-05-01
SAL,92,A2.9-970,Cristiani,1,6,1989,1989-06-01,6,1994,1994-06-01,1947,Male,False,3,1989,1989-03-01
SAL,92,A2.9-973,Calderon Sol,1,6,1994,1994-06-01,6,1999,1999-06-01,1948,Male,False,4,1994,1994-04-01
SAL,92,A2.9-976,Flores,1,6,1999,1999-06-01,6,2004,2004-06-01,1959,Male,False,3,1999,1999-03-01
SAL,92,A2.9-979,Saca Gonzšlez,1,6,2004,2004-06-01,6,2009,2009-06-01,1965,Male,False,3,2004,2004-03-01
SAL,92,A3.0-20,Funes,1,6,2009,2009-06-01,6,2014,2014-06-01,1959,Male,False,3,2009,2009-03-01
SAL,92,cb-92-1,Salvador Sanchez Ceren,1,6,2014,2014-06-01,6,2019,2019-06-01,1944,Male,False,3,2014,2014-03-01
SAL,92,ctb-92-1,Nayib Bukele,1,6,2019,2019-06-01,0,0,,1981,Male,False,2,2019,2019-02-01
NIC,93,A2.9-1048,Anastasio Somoza Garcia,26,5,1947,1947-05-26,9,1956,1956-09-01,1896,Male,False,12,1936,1936-12-01
NIC,93,A2.9-1051,Luis Somoza Debayle,29,9,1956,1956-09-29,5,1963,1963-05-01,1922,Male,False,2,1957,1957-02-01
NIC,93,A2.9-1054,Shick Gutierrez,1,5,1963,1963-05-01,8,1966,1966-08-01,1909,Male,False,2,1963,1963-02-01
NIC,93,A2.9-1057,Guerrero Gutierrez,4,8,1966,1966-08-04,5,1967,1967-05-01,1900,Male,False,0,0,
NIC,93,A2.9-1060,Anastasio Somoza Debayle,1,5,1967,1967-05-01,7,1979,1979-07-01,1925,Male,True,2,1967,1967-02-01
NIC,93,A2.9-1063,Daniel Ortega,18,7,1979,1979-07-18,4,1990,1990-04-01,1945,Male,False,11,1984,1984-11-01
NIC,93,A2.9-1066,Violeta Chamorro,25,4,1990,1990-04-25,1,1997,1997-01-01,1929,Female,False,2,1990,1990-02-01
NIC,93,A2.9-1069,Aleman,10,1,1997,1997-01-10,1,2002,2002-01-01,1946,Male,False,10,1996,1996-10-01
NIC,93,A2.9-1072,Enrique Bolanos,11,1,2002,2002-01-11,1,2007,2007-01-01,1928,Male,False,11,2001,2001-11-01
NIC,93,A3.0-21,Daniel Ortega,10,1,2007,2007-01-10,0,0,,1945,Male,False,11,2006,2006-11-01
COS,94,A2.9-1144,Otilio Ulate,8,11,1949,1949-11-08,11,1953,1953-11-01,1892,Male,False,2,1948,1948-02-01
COS,94,A2.9-1147,Figueres Ferrer,8,11,1953,1953-11-08,5,1958,1958-05-01,1906,Male,False,7,1953,1953-07-01
COS,94,A2.9-1150,Echandi Jimenez,8,5,1958,1958-05-08,5,1962,1962-05-01,1915,Male,False,2,1958,1958-02-01
COS,94,A2.9-1153,Orlich,8,5,1962,1962-05-08,5,1966,1966-05-01,1907,Male,False,2,1962,1962-02-01
COS,94,A2.9-1156,Trejos,8,5,1966,1966-05-08,5,1970,1970-05-01,1916,Male,False,2,1966,1966-02-01
COS,94,A2.9-1159,Figueres Ferrer,8,5,1970,1970-05-08,5,1974,1974-05-01,1906,Male,False,2,1970,1970-02-01
COS,94,A2.9-1162,"Quiros, Daniel",8,5,1974,1974-05-08,5,1978,1978-05-01,1921,Male,False,2,1974,1974-02-01
COS,94,A2.9-1165,Carazo Odio,8,5,1978,1978-05-08,5,1982,1982-05-01,1926,Male,False,2,1978,1978-02-01
COS,94,A2.9-1168,Monge Alverez,8,5,1982,1982-05-08,5,1986,1986-05-01,1925,Male,False,2,1982,1982-02-01
COS,94,A2.9-1171,Arias,8,5,1986,1986-05-08,5,1990,1990-05-01,1941,Male,False,2,1986,1986-02-01
COS,94,A2.9-1174,Calderon Fournier,8,5,1990,1990-05-08,5,1994,1994-05-01,1949,Male,False,2,1990,1990-02-01
COS,94,A2.9-1177,Figueres Olsen,8,5,1994,1994-05-08,5,1998,1998-05-01,1954,Male,False,2,1994,1994-02-01
COS,94,A2.9-1180,Rodriguez Echeverria,8,5,1998,1998-05-08,5,2002,2002-05-01,1940,Male,False,2,1998,1998-02-01
COS,94,A2.9-1183,Abel Pacheco,9,5,2002,2002-05-09,5,2006,2006-05-01,1933,Male,False,4,2002,2002-04-01
COS,94,A3.0-22,Arias,8,5,2006,2006-05-08,5,2010,2010-05-01,1940,Male,False,2,2006,2006-02-01
COS,94,A3.0-23,Miranda,8,5,2010,2010-05-08,5,2014,2014-05-01,1959,Female,False,2,2010,2010-02-01
COS,94,cb-94-1,Luis Guillermo Solis,8,5,2014,2014-05-08,5,2018,2018-05-01,1958,Male,False,4,2014,2014-04-01
COS,94,KS-94-2,Carlos Alvarado Quesada,8,5,2018,2018-05-08,0,0,,1980,Male,False,4,2018,2018-04-01
PAN,95,A2.9-1270,"Arias, A.",25,11,1949,1949-11-25,5,1951,1951-05-01,1901,Male,False,5,1948,1948-05-01
PAN,95,A2.9-1273,"Arosomena, A.",10,5,1951,1951-05-10,10,1952,1952-10-01,1883,Male,False,0,0,
PAN,95,A2.9-1276,Remon Cantero,1,10,1952,1952-10-01,1,1955,1955-01-01,1908,Male,False,5,1952,1952-05-01
PAN,95,A2.9-1279,Guizado,3,1,1955,1955-01-03,1,1955,1955-01-01,1899,Male,False,0,0,
PAN,95,A2.9-1282,Arias Espinosa,15,1,1955,1955-01-15,10,1956,1956-10-01,1912,Male,False,0,0,
PAN,95,A2.9-1285,"Guardia Jr., E.",1,10,1956,1956-10-01,10,1960,1960-10-01,1904,Male,False,5,1956,1956-05-01
PAN,95,A2.9-1288,"Chiari, Roberto",1,10,1960,1960-10-01,10,1964,1964-10-01,1905,Male,False,5,1960,1960-05-01
PAN,95,A2.9-1291,Robles,1,10,1964,1964-10-01,10,1968,1968-10-01,1905,Male,False,5,1964,1964-05-01
PAN,95,A2.9-1294,"Arias, A.",1,10,1968,1968-10-01,10,1968,1968-10-01,1901,Male,False,5,1968,1968-05-01
PAN,95,A2.9-1297,Torrijos Herrera,12,10,1968,1968-10-12,7,1981,1981-07-01,1929,Male,True,0,0,
PAN,95,A2.9-1300,Florez Aguilar,31,7,1981,1981-07-31,3,1982,1982-03-01,1931,Male,True,0,0,
PAN,95,A2.9-1303,Dario Paredes,3,3,1982,1982-03-03,8,1983,1983-08-01,1931,Male,True,0,0,
PAN,95,A2.9-1306,Noriega,15,8,1983,1983-08-15,1,1990,1990-01-01,1940,Male,True,0,0,
PAN,95,A2.9-1309,Endara,4,1,1990,1990-01-04,9,1994,1994-09-01,1936,Male,False,5,1989,1989-05-01
PAN,95,A2.9-1312,Balladares,1,9,1994,1994-09-01,9,1999,1999-09-01,1946,Male,False,5,1994,1994-05-01
PAN,95,A2.9-1315,Mireya Moscoso,1,9,1999,1999-09-01,9,2004,2004-09-01,1946,Female,False,5,1999,1999-05-01
PAN,95,A2.9-1318,Martin Torrijos,1,9,2004,2004-09-01,7,2009,2009-07-01,1963,Male,True,5,2004,2004-05-01
PAN,95,A3.0-24,Martinelli,1,7,2009,2009-07-01,7,2014,2014-07-01,1952,Male,False,5,2009,2009-05-01
PAN,95,cb-95-1,Juan Carlos Varela,1,7,2014,2014-07-01,7,2019,2019-07-01,1963,Male,False,5,2014,2014-05-01
PAN,95,ctb-95-1,Laurentino Cortizo,1,7,2019,2019-07-01,0,0,,1953,Male,False,5,2019,2019-05-01
COL,100,A2.9-1399,Ospina Perez,7,8,1946,1946-08-07,8,1950,1950-08-01,1891,Male,False,5,1946,1946-05-01
COL,100,A2.9-1402,Laureanco Gomez,7,8,1950,1950-08-07,11,1951,1951-11-01,1889,Male,False,11,1949,1949-11-01
COL,100,A2.9-1405,Roberto Urdaneta Arbelaez,5,11,1951,1951-11-05,6,1953,1953-06-01,1890,Male,False,0,0,
COL,100,A2.9-1411,Rojas Pinillia,13,6,1953,1953-06-13,5,1957,1957-05-01,1900,Male,True,0,0,
COL,100,A2.9-1414,Paris,10,5,1957,1957-05-10,8,1958,1958-08-01,1910,Male,True,0,0,
COL,100,A2.9-1417,Lleras Camargo,7,8,1958,1958-08-07,8,1962,1962-08-01,1906,Male,False,5,1958,1958-05-01
COL,100,A2.9-1420,Guillermo-Leon,7,8,1962,1962-08-07,8,1966,1966-08-01,1909,Male,False,5,1962,1962-05-01
COL,100,A2.9-1423,Lleras Restropo,7,8,1966,1966-08-07,8,1970,1970-08-01,1908,Male,False,5,1966,1966-05-01
COL,100,A2.9-1426,Pastrana Borrero,7,8,1970,1970-08-07,8,1974,1974-08-01,1923,Male,False,4,1970,1970-04-01
COL,100,A2.9-1429,Lopez Michelsen,7,8,1974,1974-08-07,8,1978,1978-08-01,1913,Male,False,4,1974,1974-04-01
COL,100,A2.9-1432,Turbay,7,8,1978,1978-08-07,8,1982,1982-08-01,1916,Male,False,6,1978,1978-06-01
COL,100,A2.9-1435,Betancur,7,8,1982,1982-08-07,8,1986,1986-08-01,1923,Male,False,5,1982,1982-05-01
COL,100,A2.9-1438,Vargas,7,8,1986,1986-08-07,8,1990,1990-08-01,1921,Male,False,5,1986,1986-05-01
COL,100,A2.9-1441,Trujillo,7,8,1990,1990-08-07,8,1994,1994-08-01,1947,Male,False,5,1990,1990-05-01
COL,100,A2.9-1444,Pizano,7,8,1994,1994-08-07,8,1998,1998-08-01,1950,Male,False,6,1994,1994-06-01
COL,100,A2.9-1447,Arango,7,8,1998,1998-08-07,8,2002,2002-08-01,1954,Male,False,6,1998,1998-06-01
COL,100,A2.9-1450,Alvaro Uribe Velez,8,8,2002,2002-08-08,8,2010,2010-08-01,1952,Male,False,5,2002,2002-05-01
COL,100,A3.0-25,Santos Calderon,7,8,2010,2010-08-07,8,2018,2018-08-01,1951,Male,False,6,2010,2010-06-01
COL,100,K3.1-25,Ivan Duque,7,8,2018,2018-08-07,0,0,,1976,Male,False,6,2018,2018-06-01
VEN,101,A2.9-1525,Delgado Chalbaud,24,11,1948,1948-11-24,11,1950,1950-11-01,1909,Male,True,0,0,
VEN,101,A2.9-1528,Perez Jimenez,13,11,1950,1950-11-13,1,1958,1958-01-01,1914,Male,True,11,1952,1952-11-01
VEN,101,A2.9-1531,Larrazabal,23,1,1958,1958-01-23,11,1958,1958-11-01,1911,Male,True,0,0,
VEN,101,A2.9-1534,Sanabria,14,11,1958,1958-11-14,2,1959,1959-02-01,1911,Male,False,0,0,
VEN,101,A2.9-1537,Betancourt,13,2,1959,1959-02-13,3,1964,1964-03-01,1908,Male,False,12,1958,1958-12-01
VEN,101,A2.9-1540,Leoni,11,3,1964,1964-03-11,3,1969,1969-03-01,1905,Male,False,12,1963,1963-12-01
VEN,101,A2.9-1543,Caldera Rodriguez,11,3,1969,1969-03-11,3,1974,1974-03-01,1916,Male,False,12,1968,1968-12-01
VEN,101,A2.9-1546,Andres Perez,12,3,1974,1974-03-12,3,1979,1979-03-01,1922,Male,False,12,1973,1973-12-01
VEN,101,A2.9-1549,Campins,12,3,1979,1979-03-12,2,1984,1984-02-01,1925,Male,False,12,1978,1978-12-01
VEN,101,A2.9-1552,Lusinchi,2,2,1984,1984-02-02,2,1989,1989-02-01,1924,Male,False,12,1983,1983-12-01
VEN,101,A2.9-1555,Andres Perez,2,2,1989,1989-02-02,5,1993,1993-05-01,1922,Male,False,12,1988,1988-12-01
VEN,101,A2.9-1555-1,Lepage Barreto,21,5,1993,1993-05-21,6,1993,1993-06-01,1923,Male,False,0,0,
VEN,101,A2.9-1558,Velasquez,5,6,1993,1993-06-05,2,1994,1994-02-01,1916,Male,False,0,0,
VEN,101,A2.9-1561,Caldera Rodriguez,2,2,1994,1994-02-02,2,1999,1999-02-01,1916,Male,False,12,1993,1993-12-01
VEN,101,A2.9-1564,Hugo Chavez,2,2,1999,1999-02-02,3,2013,2013-03-01,1954,Male,True,12,1998,1998-12-01
VEN,101,cb-101-1,Nicolas Maduro,5,3,2013,2013-03-05,0,0,,1962,Male,False,4,2013,2013-04-01
GUY,110,A2.9-1567,Burnham,26,5,1966,1966-05-26,8,1985,1985-08-01,1923,Male,False,12,1964,1964-12-01
GUY,110,A2.9-1570,Hoyte,6,8,1985,1985-08-06,10,1992,1992-10-01,1929,Male,False,12,1985,1985-12-01
GUY,110,A2.9-1573,Jagan Cheddi,9,10,1992,1992-10-09,3,1997,1997-03-01,1918,Male,False,10,1992,1992-10-01
GUY,110,A2.9-1576,Samuel Hinds,6,3,1997,1997-03-06,12,1997,1997-12-01,1943,Male,False,0,0,
GUY,110,A2.9-1579,Janet Jagan,19,12,1997,1997-12-19,8,1999,1999-08-01,1920,Female,False,12,1997,1997-12-01
GUY,110,A2.9-1582,Bharrat Jagdeo,11,8,1999,1999-08-11,12,2011,2011-12-01,1964,Male,False,8,2006,2006-08-01
GUY,110,A3.0-26,Ramotar,3,12,2011,2011-12-03,5,2015,2015-05-01,1950,Male,False,11,2011,2011-11-01
GUY,110,cb -110-1,David Granger,16,5,2015,2015-05-16,8,2020,2020-08-01,1945,Male,True,5,2015,2015-05-01
GUY,110,ctb-110-1,Mohamed Irfaan Ali,2,8,2020,2020-08-02,0,0,,1980,Male,False,3,2020,2020-03-01
SUR,115,A2.9-1585,Ferrier,25,11,1975,1975-11-25,2,1980,1980-02-01,1910,Male,False,11,1973,1973-11-01
SUR,115,A2.9-1588,Bouterse,15,2,1980,1980-02-15,1,1988,1988-01-01,1945,Male,True,0,0,
SUR,115,A2.9-1591,Shankar,25,1,1988,1988-01-25,12,1990,1990-12-01,1937,Male,False,11,1987,1987-11-01
SUR,115,A2.9-1597,Kraag,29,12,1990,1990-12-29,9,1991,1991-09-01,1913,Male,False,0,0,
SUR,115,A2.9-1600,Venetiaan,16,9,1991,1991-09-16,9,1996,1996-09-01,1936,Male,False,5,1991,1991-05-01
SUR,115,A2.9-1603,Wijdenbosch,15,9,1996,1996-09-15,8,2000,2000-08-01,1941,Male,False,5,1996,1996-05-01
SUR,115,A2.9-1606,Venetiaan,12,8,2000,2000-08-12,8,2010,2010-08-01,1936,Male,False,5,2000,2000-05-01
SUR,115,A3.0-27,Bouterse,12,8,2010,2010-08-12,7,2020,2020-07-01,1945,Male,True,5,2010,2010-05-01
SUR,115,ctb-115-1,Santokhi,16,7,2020,2020-07-16,0,0,,1959,Male,False,7,2020,2020-07-01
ECU,130,A2.9-1744,Plaza Lasso,1,9,1948,1948-09-01,9,1952,1952-09-01,1906,Male,False,6,1948,1948-06-01
ECU,130,A2.9-1747,Velasco Ibarra,1,9,1952,1952-09-01,9,1956,1956-09-01,1893,Male,False,6,1952,1952-06-01
ECU,130,A2.9-1750,Ponce Enriquez,1,9,1956,1956-09-01,9,1960,1960-09-01,1912,Male,False,6,1956,1956-06-01
ECU,130,A2.9-1753,Velasco Ibarra,1,9,1960,1960-09-01,11,1961,1961-11-01,1893,Male,False,6,1960,1960-06-01
ECU,130,A2.9-1756,Arosemena Monroy,7,11,1961,1961-11-07,7,1963,1963-07-01,1919,Male,False,0,0,
ECU,130,A2.9-1759,Castro,11,7,1963,1963-07-11,3,1966,1966-03-01,1915,Male,True,0,0,
ECU,130,A2.9-1762,Yerovi Indaburu,29,3,1966,1966-03-29,11,1966,1966-11-01,1904,Male,False,0,0,
ECU,130,A2.9-1765,Arosemena Gomez,16,11,1966,1966-11-16,9,1968,1968-09-01,1925,Male,False,0,0,
ECU,130,A2.9-1768,Velasco Ibarra,1,9,1968,1968-09-01,2,1972,1972-02-01,1893,Male,False,6,1968,1968-06-01
ECU,130,A2.9-1771,Rodriguez Lara,15,2,1972,1972-02-15,1,1976,1976-01-01,1923,Male,True,0,0,
ECU,130,A2.9-1774,Poveda Burbano,11,1,1976,1976-01-11,8,1979,1979-08-01,1926,Male,True,0,0,
ECU,130,A2.9-1777,Roldos Aquilers,10,8,1979,1979-08-10,5,1981,1981-05-01,1940,Male,False,4,1979,1979-04-01
ECU,130,A2.9-1780,Hurtado Larrea,24,5,1981,1981-05-24,8,1984,1984-08-01,1940,Male,False,0,0,
ECU,130,A2.9-1783,Febres Cordaro,10,8,1984,1984-08-10,8,1988,1988-08-01,1931,Male,False,5,1984,1984-05-01
ECU,130,A2.9-1786,Borja Cevallos,10,8,1988,1988-08-10,8,1992,1992-08-01,1935,Male,False,5,1988,1988-05-01
ECU,130,A2.9-1789,Duran Ballen,10,8,1992,1992-08-10,8,1996,1996-08-01,1921,Male,False,7,1992,1992-07-01
ECU,130,A2.9-1792,Bucaram Ortiz,10,8,1996,1996-08-10,2,1997,1997-02-01,1952,Male,False,7,1996,1996-07-01
ECU,130,A2.9-1795,Alarcon Fabian,6,2,1997,1997-02-06,8,1998,1998-08-01,1947,Male,False,0,0,
ECU,130,A2.9-1804,Mahuad,10,8,1998,1998-08-10,1,2000,2000-01-01,1949,Male,False,5,1998,1998-05-01
ECU,130,A2.9-1807,Gustavo Noboa,22,1,2000,2000-01-22,1,2003,2003-01-01,1937,Male,False,0,0,
ECU,130,A2.9-1810,Lucio Gutierrez,15,1,2003,2003-01-15,4,2005,2005-04-01,1957,Male,True,11,2002,2002-11-01
ECU,130,A3.0-28,Alfredo Palacio,20,4,2005,2005-04-20,1,2007,2007-01-01,1939,Male,False,0,0,
ECU,130,A3.0-29,Rafael Correa,15,1,2007,2007-01-15,5,2017,2017-05-01,1963,Male,False,11,2006,2006-11-01
ECU,130,se-130-1,Lenin Moreno,24,5,2017,2017-05-24,5,2021,2021-05-01,1953,Male,False,4,2017,2017-04-01
ECU,130,mf-130-1,Guillermo Lasso,24,5,2021,2021-05-24,0,0,,1955,Male,False,4,2021,2021-04-01
PER,135,A2.9-1906,Odria,29,10,1948,1948-10-29,6,1950,1950-06-01,1897,Male,True,0,0,
PER,135,A2.9-1909,Noriega,1,6,1950,1950-06-01,7,1950,1950-07-01,1900,Male,True,0,0,
PER,135,A2.9-1912,Odria,28,7,1950,1950-07-28,7,1956,1956-07-01,1897,Male,True,7,1950,1950-07-01
PER,135,A2.9-1915,Ugarteche,28,7,1956,1956-07-28,7,1962,1962-07-01,1889,Male,False,6,1956,1956-06-01
PER,135,A2.9-1918,Perez Godoy,19,7,1962,1962-07-19,3,1963,1963-03-01,1905,Male,True,0,0,
PER,135,A2.9-1921,Lindley Lopez,3,3,1963,1963-03-03,7,1963,1963-07-01,1908,Male,True,0,0,
PER,135,A2.9-1924,Belaunde,28,7,1963,1963-07-28,10,1968,1968-10-01,1913,Male,False,6,1963,1963-06-01
PER,135,A2.9-1927,Velasco Alvarado,3,10,1968,1968-10-03,8,1975,1975-08-01,1910,Male,True,0,0,
PER,135,A2.9-1930,Morales Bermudez,30,8,1975,1975-08-30,7,1980,1980-07-01,1921,Male,True,0,0,
PER,135,A2.9-1933,Belaunde,28,7,1980,1980-07-28,7,1985,1985-07-01,1913,Male,False,5,1980,1980-05-01
PER,135,A2.9-1936,Garcia Perez,28,7,1985,1985-07-28,7,1990,1990-07-01,1949,Male,False,4,1985,1985-04-01
PER,135,A2.9-1939,Fujimori,28,7,1990,1990-07-28,11,2000,2000-11-01,1938,Male,False,6,1990,1990-06-01
PER,135,A2.9-1942,Valentin Paniagua,23,11,2000,2000-11-23,7,2001,2001-07-01,1936,Male,False,0,0,
PER,135,A2.9-1945,Alejandro Toledo,28,7,2001,2001-07-28,7,2006,2006-07-01,1946,Male,False,6,2001,2001-06-01
PER,135,A3.0-30,Garcia Perez,28,7,2006,2006-07-28,7,2011,2011-07-01,1949,Male,False,6,2006,2006-06-01
PER,135,A3.0-31,Ollanta Humala,28,7,2011,2011-07-28,7,2016,2016-07-01,1961,Male,True,6,2011,2011-06-01
PER,135,cb-135-01,Pedro Pablo Kuczynski,25,7,2016,2016-07-25,3,2018,2018-03-01,1938,Male,False,6,2016,2016-06-01
PER,135,ctb-135-01,Martin Vizcarra Cornejo,23,3,2018,2018-03-23,11,2020,2020-11-01,1963,Male,False,0,0,
PER,135,ctb-135-02,Manuel Merino,10,11,2020,2020-11-10,11,2020,2020-11-01,1961,Male,False,0,0,
PER,135,ctb-135-03,Francisco Sagasti,17,11,2020,2020-11-17,7,2021,2021-07-01,1944,Male,False,0,0,
PER,135,mf-135-1,Castillo,28,7,2021,2021-07-28,0,0,,1969,Male,False,6,2021,2021-06-01
BRA,140,A2.9-1996,Dutra,31,1,1946,1946-01-31,1,1951,1951-01-01,1885,Male,True,12,1945,1945-12-01
BRA,140,A2.9-1999,Vargas,10,2,1951,1951-02-10,8,1954,1954-08-01,1883,Male,False,10,1950,1950-10-01
BRA,140,A2.9-2002,Cafe Filho,24,8,1954,1954-08-24,11,1955,1955-11-01,1899,Male,False,0,0,
BRA,140,A2.9-2008,Oliveria Ramos,11,11,1955,1955-11-11,1,1956,1956-01-01,1889,Male,False,0,0,
BRA,140,A2.9-2011,Kubitschek,31,1,1956,1956-01-31,1,1961,1961-01-01,1902,Male,False,10,1955,1955-10-01
BRA,140,A2.9-2014,Quadros,31,1,1961,1961-01-31,8,1961,1961-08-01,1917,Male,False,10,1960,1960-10-01
BRA,140,A2.9-2017,Ranieri Mazzilli,25,8,1961,1961-08-25,9,1961,1961-09-01,1910,Male,False,0,0,
BRA,140,A2.9-2020,Goulart,7,9,1961,1961-09-07,4,1964,1964-04-01,1918,Male,False,1,1963,1963-01-01
BRA,140,A2.9-2023,Ranieri Mazzilli,2,4,1964,1964-04-02,4,1964,1964-04-01,1910,Male,False,0,0,
BRA,140,A2.9-2026,Castello Branco,15,4,1964,1964-04-15,3,1967,1967-03-01,1900,Male,True,4,1964,1964-04-01
BRA,140,A2.9-2029,Costa de Silva,15,3,1967,1967-03-15,9,1969,1969-09-01,1902,Male,True,10,1966,1966-10-01
BRA,140,A2.9-2032,Military Junta,1,9,1969,1969-09-01,10,1969,1969-10-01,1905,Male,True,0,0,
BRA,140,A2.9-2035,Medici,25,10,1969,1969-10-25,3,1974,1974-03-01,1905,Male,True,10,1969,1969-10-01
BRA,140,A2.9-2038,Geisel,15,3,1974,1974-03-15,3,1979,1979-03-01,1907,Male,True,1,1974,1974-01-01
BRA,140,A2.9-2041,Figueiredo,15,3,1979,1979-03-15,3,1985,1985-03-01,1918,Male,True,1,1978,1978-01-01
BRA,140,A2.9-2044,Sarnay,21,3,1985,1985-03-21,3,1990,1990-03-01,1930,Male,False,1,1985,1985-01-01
BRA,140,A2.9-2047,Mello,15,3,1990,1990-03-15,10,1992,1992-10-01,1949,Male,False,12,1989,1989-12-01
BRA,140,A2.9-2050,"Franco, Itamar",2,10,1992,1992-10-02,12,1994,1994-12-01,1930,Male,False,0,0,
BRA,140,A2.9-2053,Cardoso,1,1,1995,1995-01-01,1,2003,2003-01-01,1931,Male,False,10,1994,1994-10-01
BRA,140,A2.9-2056,Lula da Silva,1,1,2003,2003-01-01,1,2011,2011-01-01,1945,Male,False,10,2002,2002-10-01
BRA,140,A3.0-32,Rousseff,1,1,2011,2011-01-01,5,2016,2016-05-01,1947,Female,False,10,2010,2010-10-01
BRA,140,cb-140-1,Temer,31,8,2016,2016-08-31,1,2019,2019-01-01,1940,Male,False,0,0,
BRA,140,ctb-140-2,Bolsonaro,1,1,2019,2019-01-01,0,0,,1955,Male,True,10,2018,2018-10-01
BOL,145,A2.9-2137,Urriolagoitia,7,5,1949,1949-05-07,5,1951,1951-05-01,1894,Male,False,1,1947,1947-01-01
BOL,145,A2.9-2140,Ballivian Rojas,16,5,1951,1951-05-16,4,1952,1952-04-01,1902,Male,True,0,0,
BOL,145,A2.9-2143,Siles Zuazo,11,4,1952,1952-04-11,4,1952,1952-04-01,1914,Male,False,0,0,
BOL,145,A2.9-2146,Paz Estenssoro,17,4,1952,1952-04-17,6,1956,1956-06-01,1907,Male,False,0,0,
BOL,145,A2.9-2149,Siles Zuazo,17,6,1956,1956-06-17,8,1960,1960-08-01,1914,Male,False,6,1956,1956-06-01
BOL,145,A2.9-2152,Paz Estenssoro,6,8,1960,1960-08-06,11,1964,1964-11-01,1907,Male,False,6,1960,1960-06-01
BOL,145,A2.9-2155,Barrientos Ortuna,6,11,1964,1964-11-06,1,1966,1966-01-01,1919,Male,True,0,0,
BOL,145,A2.9-2158,Ovando Candia,5,1,1966,1966-01-05,8,1966,1966-08-01,1918,Male,True,0,0,
BOL,145,A2.9-2161,Barrientos Ortuna,6,8,1966,1966-08-06,4,1969,1969-04-01,1919,Male,True,7,1966,1966-07-01
